Uce [V] ; Ube ; Ic ; Ube ; Ic ; Ube ; Ic 
0;0,5373;0,034;0,5532;-0,0001;0,5736;-0,0023
0,05;0,5808;0,4848;0,5932;0,8681;0,6139;1,8692
0,1;0,6025;1,289;0,6181;2,5994;0,6373;5,3338
0,15;0,61;1,7593;0,6264;3,6022;0,6461;7,4235
0,2;0,6116;1,8554;0,629;3,8288;0,648;7,9279
0,3;0,6125;1,8795;0,6291;3,8734;0,6483;8,0509
0,4;0,6122;1,8747;0,6296;3,8742;0,6484;8,0554
0,5;0,6124;1,8757;0,6293;3,8768;0,6486;8,0575
0,6;0,6127;1,8752;0,6296;3,868;0,6481;8,0421
0,9;0,6122;1,8731;0,6293;3,8819;0,6484;8,0744
1;0,6118;1,8698;0,6296;3,8838;0,6489;8,0937
2;0,6121;1,8852;0,5634;3,7575;0,517;6,818
3;0,6109;1,8361;0,5214;3,1989;0,4324;6,6844
4;0,6103;1,8843;0,48;3,1169;0,4442;6,4896
5;0,6101;1,8878;0,4262;3,733;0,3987;6,5489
6;0,6076;1,8951;0,3812;3,3006;0,3494;5,4592
7;0,6095;1,9024;0,3315;2,4968;0,271;5,6762
8;0,4274;0,391;0,2478;2,7069;0,295;3,0352
9;0,3359;0,0591;0,3057;2,9308;0,2326;6,4268
10;0,0826;1,7284;0,4044;2,5383;0,4137;4,9246
